DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                DasTemp                   EtalonTemp                WarmBoxTemp               MPVPosition               OutletValve               CO_sync                   CO2_sync                  CO2_dry_sync              CH4_sync                  CH4_dry_sync              H2O_sync                  
2022-02-23                11:19:45.000              53.59704861               1286.329167               54.59704861               1645615185.000            0                         963                       1.4000220888E+02          4.5000419617E+01          4.1687500000E+01          4.4773582458E+01          4.5000816345E+01          5.0000000000E+00          3.4317107364E+04          1.7025860122E-01          3.7316363180E+02          3.7318476072E+02          1.9117263820E+00          1.9116318578E+00          3.7779811332E-03          
2022-02-23                11:19:50.000              53.59710648               1286.330556               54.59710648               1645615190.000            0                         963                       1.3999697876E+02          4.5000663757E+01          4.1687500000E+01          4.4773490906E+01          4.5000846863E+01          5.0000000000E+00          3.4314160156E+04          1.7408330686E-01          3.7315869374E+02          3.7317903969E+02          1.9114663945E+00          1.9116579171E+00          3.4363328149E-03          
2022-02-23                11:19:55.000              53.59716435               1286.331944               54.59716435               1645615195.000            0                         963                       1.3999838257E+02          4.5000480652E+01          4.1687500000E+01          4.4773277283E+01          4.5000511169E+01          5.0000000000E+00          3.4315312500E+04          1.7447730147E-01          3.7314463563E+02          3.7316803812E+02          1.9114290021E+00          1.9116091256E+00          4.0425986296E-03          
2022-02-23                11:20:00.000              53.59722222               1286.333333               54.59722222               1645615200.000            0                         963                       1.4000479126E+02          4.5000480652E+01          4.1687500000E+01          4.4773612976E+01          4.5000724792E+01          5.0000000000E+00          3.4316679688E+04          1.7489362782E-01          3.7316284633E+02          3.7318568920E+02          1.9114109914E+00          1.9116130225E+00          3.9432988407E-03          
2022-02-23                11:20:05.000              53.59728009               1286.334722               54.59728009               1645615205.000            0                         963                       1.4000140381E+02          4.5000419617E+01          4.1687500000E+01          4.4773307800E+01          4.5000541687E+01          5.0000000000E+00          3.4315242188E+04          1.7004069848E-01          3.7315725909E+02          3.7319403585E+02          1.9116257492E+00          1.9117240786E+00          3.8264368494E-03          
2022-02-23                11:20:10.000              53.59733796               1286.336111               54.59733796               1645615210.000            0                         963                       1.3999954224E+02          4.5000419617E+01          4.1687500000E+01          4.4773307800E+01          4.5000541687E+01          5.0000000000E+00          3.4314589844E+04          1.7563780697E-01          3.7313055053E+02          3.7316009896E+02          1.9117906212E+00          1.9118377394E+00          5.0439870819E-03          
2022-02-23                11:20:15.000              53.59739583               1286.337500               54.59739583               1645615215.000            0                         963                       1.4000189209E+02          4.5000694275E+01          4.1687500000E+01          4.4773155212E+01          4.5000358582E+01          5.0000000000E+00          3.4318570312E+04          1.6955571857E-01          3.7315549904E+02          3.7317783773E+02          1.9116150240E+00          1.9117766530E+00          3.7982563507E-03          
2022-02-23                11:20:20.000              53.59745370               1286.338889               54.59745370               1645615220.000            0                         963                       1.4000886034E+02          4.5000714762E+01          4.1729458042E+01          4.4773155212E+01          4.5000461018E+01          5.0000000000E+00          3.4324158408E+04          1.6922084305E-01          3.7313825793E+02          3.7315916695E+02          1.9116424125E+00          1.9115313044E+00          3.5023501388E-03          
2022-02-23                11:20:25.000              53.59751157               1286.340278               54.59751157               1645615225.000            0                         963                       1.3999533081E+02          4.5000724792E+01          4.1687500000E+01          4.4773155212E+01          4.5000511169E+01          5.0000000000E+00          3.4327781250E+04          1.7492364223E-01          3.7314776491E+02          3.7317036032E+02          1.9114625077E+00          1.9116569358E+00          3.9993026922E-03          
2022-02-23                11:20:30.000              53.59756944               1286.341667               54.59756944               1645615230.000            0                         963                       1.4000238037E+02          4.5000419617E+01          4.1687500000E+01          4.4773185730E+01          4.5000602722E+01          5.0000000000E+00          3.4324781250E+04          1.8039292914E-01          3.7317568627E+02          3.7320104547E+02          1.9114288233E+00          1.9115380984E+00          4.4887709236E-03          
