DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                DasTemp                   EtalonTemp                WarmBoxTemp               MPVPosition               OutletValve               CO_sync                   CO2_sync                  CO2_dry_sync              CH4_sync                  CH4_dry_sync              H2O_sync                  
2022-05-06                13:49:00.000              125.70069444              3016.816667               126.70069444              1651844940.000            0                         963                       1.3930108643E+02          4.5000144958E+01          3.9875000000E+01          4.4774314880E+01          4.5000358582E+01          2.0000000000E+00          1.2308550781E+04          5.3526666205E-01          4.4555959076E+02          4.4814563191E+02          2.0177486056E+00          2.0273331084E+00          3.7222742087E-01          
2022-05-06                13:49:05.000              125.70075231              3016.818056               126.70075231              1651844945.000            0                         963                       1.3930938721E+02          4.5000236511E+01          3.9875000000E+01          4.4774101257E+01          4.5000419617E+01          2.0000000000E+00          1.1440245117E+04          5.3666896011E-01          4.4550621680E+02          4.4809643647E+02          2.0174799500E+00          2.0270993621E+00          3.7103424242E-01          
2022-05-06                13:49:10.000              125.70081019              3016.819444               126.70081019              1651844950.000            0                         963                       1.3932003784E+02          4.5000236511E+01          3.9875000000E+01          4.4774101257E+01          4.5000419617E+01          2.0000000000E+00          1.0651935547E+04          5.3541300926E-01          4.4551422082E+02          4.4809231847E+02          2.0173910651E+00          2.0268485990E+00          3.6988093193E-01          
2022-05-06                13:49:15.000              125.70086806              3016.820833               126.70086806              1651844955.000            0                         963                       1.3934094238E+02          4.5000083923E+01          3.9875000000E+01          4.4774009705E+01          4.5000358582E+01          2.0000000000E+00          9.8193457031E+03          5.3452550599E-01          4.4549401504E+02          4.4806877933E+02          2.0173327049E+00          2.0270117830E+00          3.7002240200E-01          
2022-05-06                13:49:20.000              125.70092593              3016.822222               126.70092593              1651844960.000            0                         963                       1.3935028076E+02          4.5000267029E+01          3.9875000000E+01          4.4774101257E+01          4.5000419617E+01          2.0000000000E+00          9.1333203125E+03          5.4167890066E-01          4.4546432586E+02          4.4803603903E+02          2.0173568330E+00          2.0269026281E+00          3.6962847548E-01          
2022-05-06                13:49:25.000              125.70098380              3016.823611               126.70098380              1651844965.000            0                         963                       1.3936314597E+02          4.5000191190E+01          3.9875000000E+01          4.4773917241E+01          4.5000407774E+01          2.0000000000E+00          8.1633349864E+03          5.3387637210E-01          4.4546251413E+02          4.4803876093E+02          2.0173060933E+00          2.0268725326E+00          3.6944515694E-01          
2022-05-06                13:49:30.000              125.70104167              3016.825000               126.70104167              1651844970.000            0                         963                       1.3937765503E+02          4.5000267029E+01          3.9875000000E+01          4.4774070740E+01          4.5000450134E+01          2.0000000000E+00          7.2947324219E+03          5.3840425563E-01          4.4543627641E+02          4.4800247575E+02          2.0173563815E+00          2.0270316430E+00          3.6899896045E-01          
2022-05-06                13:49:35.000              125.70109954              3016.826389               126.70109954              1651844975.000            0                         963                       1.3938293457E+02          4.5000328064E+01          3.9875000000E+01          4.4774223328E+01          4.5000358582E+01          2.0000000000E+00          6.5842314453E+03          5.3911707796E-01          4.4550890243E+02          4.4807609794E+02          2.0173755342E+00          2.0270373462E+00          3.6885347066E-01          
2022-05-06                13:49:40.000              125.70115741              3016.827778               126.70115741              1651844980.000            0                         963                       1.3939258752E+02          4.5000328064E+01          3.9875000000E+01          4.4774223328E+01          4.5000358582E+01          2.0000000000E+00          6.5000000000E+03          5.4348833073E-01          4.4548917993E+02          4.4804979631E+02          2.0175368091E+00          2.0269723372E+00          3.6812264536E-01          
2022-05-06                13:49:45.000              125.70121528              3016.829167               126.70121528              1651844985.000            0                         963                       1.3940206909E+02          4.5000175476E+01          3.9875000000E+01          4.4774101257E+01          4.5000511169E+01          2.0000000000E+00          6.5000000000E+03          5.3225335109E-01          4.4545237787E+02          4.4802092419E+02          2.0176817164E+00          2.0271775624E+00          3.6830395761E-01          
2022-05-06                13:49:50.000              125.70127315              3016.830556               126.70127315              1651844990.000            0                         963                       1.3941293335E+02          4.5000267029E+01          3.9875000000E+01          4.4774497986E+01          4.5000511169E+01          2.0000000000E+00          6.5000000000E+03          5.3622439436E-01          4.4544813178E+02          4.4800684021E+02          2.0177279246E+00          2.0271996690E+00          3.6819255685E-01          
2022-05-06                13:49:55.000              125.70133102              3016.831944               126.70133102              1651844995.000            0                         963                       1.3942276001E+02          4.5000267029E+01          3.9875000000E+01          4.4774497986E+01          4.5000511169E+01          2.0000000000E+00          6.5000000000E+03          5.4067686132E-01          4.4544286546E+02          4.4800055532E+02          2.0176778880E+00          2.0272590225E+00          3.6738074235E-01          
2022-05-06                13:50:00.000              125.70138889              3016.833333               126.70138889              1651845000.000            0                         963                       1.3942941284E+02          4.5000480652E+01          3.9875000000E+01          4.4774284363E+01          4.5000511169E+01          2.0000000000E+00          6.5000000000E+03          5.2905779382E-01          4.4547614680E+02          4.4803134858E+02          2.0178637029E+00          2.0272400355E+00          3.6734608012E-01          
