DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                DasTemp                   EtalonTemp                WarmBoxTemp               MPVPosition               OutletValve               CO_sync                   CO2_sync                  CO2_dry_sync              CH4_sync                  CH4_dry_sync              H2O_sync                  
2022-05-06                17:50:00.000              125.86805556              3020.833333               126.86805556              1651859400.000            0                         963                       1.4000292969E+02          4.5000297546E+01          4.0312500000E+01          4.4773277283E+01          4.4999595642E+01          7.0000000000E+00          3.6507781250E+04          8.6211790667E-02          4.5748049560E+02          4.5747920662E+02          1.7886417957E+00          1.7885699366E+00          -4.4930792250E-04         
2022-05-06                17:50:05.000              125.86811343              3020.834722               126.86811343              1651859405.000            0                         963                       1.3999997290E+02          4.5000297546E+01          4.0312500000E+01          4.4773277283E+01          4.4999595642E+01          7.0000000000E+00          3.6508568537E+04          8.7549319686E-02          4.5747225558E+02          4.5746775506E+02          1.7885550097E+00          1.7886152944E+00          -5.9076776478E-04         
2022-05-06                17:50:10.000              125.86817130              3020.836111               126.86817130              1651859410.000            0                         963                       1.4000708008E+02          4.5000114441E+01          4.0312500000E+01          4.4773368835E+01          4.4999595642E+01          7.0000000000E+00          3.6510437500E+04          8.3937413783E-02          4.5748937738E+02          4.5748724013E+02          1.7886560960E+00          1.7886969211E+00          -1.3657049425E-04         
2022-05-06                17:50:15.000              125.86822917              3020.837500               126.86822917              1651859415.000            0                         963                       1.4000778198E+02          4.4999931335E+01          4.0312500000E+01          4.4773368835E+01          4.4999748230E+01          7.0000000000E+00          3.6515234375E+04          9.8360535734E-02          4.5749312795E+02          4.5749141739E+02          1.7887804297E+00          1.7887724810E+00          -4.9633379351E-04         
2022-05-06                17:50:20.000              125.86828704              3020.838889               126.86828704              1651859420.000            0                         963                       1.3999664307E+02          4.4999687195E+01          4.0312500000E+01          4.4773490906E+01          4.4999473572E+01          7.0000000000E+00          3.6516582031E+04          9.2160248321E-02          4.5750758363E+02          4.5749882231E+02          1.7885231153E+00          1.7884066812E+00          -7.3197748913E-04         
2022-05-06                17:50:25.000              125.86834491              3020.840278               126.86834491              1651859425.000            0                         963                       1.4000036813E+02          4.4999892068E+01          4.0333479021E+01          4.4773552368E+01          4.4999545277E+01          7.0000000000E+00          3.6516633058E+04          8.6750807187E-02          4.5748412633E+02          4.5748185513E+02          1.7884251214E+00          1.7885712704E+00          -1.4953772852E-04         
2022-05-06                17:50:30.000              125.86840278              3020.841667               126.86840278              1651859430.000            0                         963                       1.4000064087E+02          4.5000297546E+01          4.0312500000E+01          4.4773674011E+01          4.4999687195E+01          7.0000000000E+00          3.6516531250E+04          9.2373121898E-02          4.5749692972E+02          4.5749500448E+02          1.7885408761E+00          1.7884405242E+00          -3.0717508907E-04         
2022-05-06                17:50:35.000              125.86846065              3020.843056               126.86846065              1651859435.000            0                         963                       1.4000051880E+02          4.5000602722E+01          4.0312500000E+01          4.4773277283E+01          4.4999595642E+01          7.0000000000E+00          3.6515820312E+04          8.6160674979E-02          4.5746476973E+02          4.5746241914E+02          1.7887159234E+00          1.7886361008E+00          -3.7385129298E-04         
2022-05-06                17:50:40.000              125.86851852              3020.844444               126.86851852              1651859440.000            0                         963                       1.4000308228E+02          4.5000480652E+01          4.0375000000E+01          4.4773460388E+01          4.4999382019E+01          7.0000000000E+00          3.6521023438E+04          8.8282336834E-02          4.5746996381E+02          4.5746247179E+02          1.7886293719E+00          1.7886119193E+00          -1.0818230995E-03         
2022-05-06                17:50:45.000              125.86857639              3020.845833               126.86857639              1651859445.000            0                         963                       1.4000051880E+02          4.5000572205E+01          4.0312500000E+01          4.4773307800E+01          4.4999382019E+01          7.0000000000E+00          3.6521972656E+04          8.3617543032E-02          4.5751099836E+02          4.5750964389E+02          1.7884999709E+00          1.7884839028E+00          -4.9710908988E-05         
2022-05-06                17:50:50.000              125.86863426              3020.847222               126.86863426              1651859450.000            0                         963                       1.3999936511E+02          4.5000574766E+01          4.0312500000E+01          4.4773310361E+01          4.4999379458E+01          7.0000000000E+00          3.6520071788E+04          8.8430622524E-02          4.5749257805E+02          4.5748926897E+02          1.7886236662E+00          1.7884293919E+00          -4.3178037856E-04         
2022-05-06                17:50:55.000              125.86869213              3020.848611               126.86869213              1651859455.000            0                         963                       1.3999630737E+02          4.5000633240E+01          4.0312500000E+01          4.4773368835E+01          4.4999320984E+01          7.0000000000E+00          3.6518667969E+04          8.5040512296E-02          4.5746662574E+02          4.5746446440E+02          1.7884124781E+00          1.7884812784E+00          -2.8211878381E-04         
2022-05-06                17:51:00.000              125.86875000              3020.850000               126.86875000              1651859460.000            0                         963                       1.4000231934E+02          4.5000450134E+01          4.0312500000E+01          4.4773460388E+01          4.4999626160E+01          7.0000000000E+00          3.6522257812E+04          9.5738556236E-02          4.5748691394E+02          4.5748273162E+02          1.7886009158E+00          1.7885715170E+00          -6.8201460411E-04         
