DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                DasTemp                   EtalonTemp                WarmBoxTemp               species                   MPVPosition               OutletValve               solenoid_valves           CO                        CO2                       CO2_dry                   CH4                       CH4_dry                   H2O                       h2o_reported              b_h2o_pct                 peak_14                   peak84_raw                
2021-09-10                12:14:46.065              252.63525539              6063.246129               253.63525539              1631276086.066            0                         963                       1.4000167847E+02          4.5000450134E+01          3.7062500000E+01          4.4767906189E+01          4.5000297546E+01          2.0000000000E+00          6.0000000000E+00          3.6476160156E+04          0.0000000000E+00          1.5227446852E-01          4.4993366623E+02          4.4992928948E+02          2.1049441861E+00          2.1051155416E+00          -8.8412735196E-04         -1.1452758032E-03         7.0030310221E-03          6.3815630768E+02          3.5848155220E-01          
2021-09-10                12:14:46.954              252.63526568              6063.246376               253.63526568              1631276086.955            0                         963                       1.4000167847E+02          4.5000450134E+01          3.7062500000E+01          4.4767906189E+01          4.5000297546E+01          4.0000000000E+00          6.0000000000E+00          3.6476160156E+04          0.0000000000E+00          1.6038114903E-01          4.4993366623E+02          4.4992928948E+02          2.1049441861E+00          2.1051155416E+00          -8.8412735196E-04         -1.1452758032E-03         8.5490029460E-03          6.3815630768E+02          3.7748721639E-01          
2021-09-10                12:14:47.664              252.63527390              6063.246574               253.63527390              1631276087.665            0                         963                       1.4000314331E+02          4.5000450134E+01          3.7062500000E+01          4.4767906189E+01          4.5000297546E+01          3.0000000000E+00          6.0000000000E+00          3.6477605469E+04          0.0000000000E+00          1.6038114903E-01          4.4993366623E+02          4.4992863165E+02          2.1049441861E+00          2.1049249115E+00          -5.5561157740E-04         -7.1971719513E-04         8.5490029460E-03          6.3815630768E+02          3.7748721639E-01          
2021-09-10                12:14:47.921              252.63527686              6063.246645               253.63527686              1631276087.921            0                         963                       1.4000329134E+02          4.5000450134E+01          3.7062500000E+01          4.4767906189E+01          4.5000297546E+01          1.0000000000E+00          6.0000000000E+00          3.6477697178E+04          0.0000000000E+00          1.6038115334E-01          4.4990982280E+02          4.4992863165E+02          2.1049441861E+00          2.1049249115E+00          -5.5561157740E-04         -7.1971719513E-04         8.5490029460E-03          6.3817120598E+02          3.7748721639E-01          
2021-09-10                12:14:48.342              252.63528175              6063.246762               253.63528175              1631276088.343            0                         963                       1.4000390625E+02          4.5000450134E+01          3.7062500000E+01          4.4767906189E+01          4.5000297546E+01          2.0000000000E+00          6.0000000000E+00          3.6478078125E+04          0.0000000000E+00          1.6038115334E-01          4.4990982280E+02          4.4990478849E+02          2.1050167480E+00          2.1049249115E+00          -5.5561157740E-04         -7.1971719513E-04         8.5490029460E-03          6.3817120598E+02          3.7748721639E-01          
2021-09-10                12:14:49.217              252.63529187              6063.247005               253.63529187              1631276089.218            0                         963                       1.4000390625E+02          4.5000450134E+01          3.7062500000E+01          4.4767906189E+01          4.5000297546E+01          4.0000000000E+00          6.0000000000E+00          3.6478078125E+04          0.0000000000E+00          1.5606809586E-01          4.4990982280E+02          4.4990478849E+02          2.1050167480E+00          2.1049249115E+00          -5.5561157740E-04         -7.1971719513E-04         7.3064048321E-03          6.3817120598E+02          3.6736467973E-01          
2021-09-10                12:14:49.950              252.63530035              6063.247208               253.63530035              1631276089.950            0                         963                       1.3999697876E+02          4.5000297546E+01          3.7062500000E+01          4.4767906189E+01          4.5000419617E+01          3.0000000000E+00          6.0000000000E+00          3.6475777344E+04          0.0000000000E+00          1.5606809586E-01          4.4990982280E+02          4.4990587763E+02          2.1050167480E+00          2.1050016429E+00          -5.7264790124E-04         -7.4178578652E-04         7.3064048321E-03          6.3817120598E+02          3.6736467973E-01          
2021-09-10                12:14:50.186              252.63530308              6063.247274               253.63530308              1631276090.186            0                         963                       1.3999958369E+02          4.5000297546E+01          3.7062500000E+01          4.4767906189E+01          4.5000419617E+01          1.0000000000E+00          6.0000000000E+00          3.6476653539E+04          0.0000000000E+00          1.5606808495E-01          4.4993270521E+02          4.4990587763E+02          2.1050167480E+00          2.1050016429E+00          -5.7264790124E-04         -7.4178578652E-04         7.3064048321E-03          6.3813319717E+02          3.6736467973E-01          
2021-09-10                12:14:50.604              252.63530792              6063.247390               253.63530792              1631276090.604            0                         963                       1.4000509644E+02          4.5000297546E+01          3.7062500000E+01          4.4767906189E+01          4.5000419617E+01          2.0000000000E+00          6.0000000000E+00          3.6478507812E+04          0.0000000000E+00          1.5606808495E-01          4.4993270521E+02          4.4992875984E+02          2.1049250052E+00          2.1050016429E+00          -5.7264790124E-04         -7.4178578652E-04         7.3064048321E-03          6.3813319717E+02          3.6736467973E-01          
2021-09-10                12:14:51.505              252.63531834              6063.247640               253.63531834              1631276091.505            0                         963                       1.4000509644E+02          4.5000297546E+01          3.7062500000E+01          4.4767906189E+01          4.5000419617E+01          4.0000000000E+00          6.0000000000E+00          3.6478507812E+04          0.0000000000E+00          1.6950525787E-01          4.4993270521E+02          4.4992875984E+02          2.1049250052E+00          2.1050016429E+00          -5.7264790124E-04         -7.4178578652E-04         1.3104150977E-02          6.3813319717E+02          3.9894911296E-01          
